HOUSEID,TRAVDAY,SAMPSTRAT,HOMEOWN,HHSIZE,HHVEHCNT,HHFAMINC,PC,SPHONE,TAB,WALK,BIKE,CAR,TAXI,BUS,TRAIN,PARA,PRICE,PLACE,WALK2SAVE,BIKE2SAVE,PTRANS,HHRELATD,DRVRCNT,CNTTDHH,HHSTATE,HHSTFIPS,NUMADLT,YOUNGCHILD,WRKCOUNT,TDAYDATE,HHRESP,LIF_CYC,MSACAT,MSASIZE,RAIL,URBAN,URBANSIZE,URBRUR,SCRESP,CENSUS_D,CENSUS_R,CDIVMSAR,HH_RACE,HH_HISP,HH_CBSA,RESP_CNT,WEBUSE17,SMPLSRCE,WTHHFIN,HBHUR,HTHTNRNT,HTPPOPDN,HTRESDN,HTEEMPDN,HBHTNRNT,HBPPOPDN,HBRESDN
30551400,01,02,01,2,2,07,01,01,05,02,05,01,05,05,05,05,01,01,04,04,05,01,2,8,TX,48,2,0,2,201609,01,02,02,04,02,01,04,01,01,07,03,72,01,02,12420,2,01,02,418.975950432987,S,30,1500,300,750,20,1500,300
30551626,04,02,02,1,1,05,01,-9,-9,-9,-9,01,-9,-9,-9,-9,01,-9,-9,-9,-9,02,1,6,TX,48,1,0,0,201608,01,09,02,04,02,01,04,01,01,07,03,72,01,01,12420,1,01,02,444.734197721983,U,70,7000,3000,3000,90,7000,3000
30552161,03,02,01,3,3,08,01,01,05,04,04,01,05,05,04,-9,02,03,03,02,02,01,3,22,TX,48,3,0,2,201606,01,02,02,04,02,01,04,01,01,07,03,72,01,02,12420,3,01,01,1045.73031737771,S,60,3000,1500,3000,70,7000,3000
30552522,01,02,01,3,2,10,01,01,01,01,03,01,03,04,04,05,05,05,05,05,05,01,2,8,TX,48,2,1,1,201606,01,04,02,04,02,01,04,01,01,07,03,72,01,02,12420,3,01,02,1624.24507020833,U,50,7000,3000,3000,50,7000,3000
30552556,02,02,02,3,3,05,01,01,02,-9,-9,01,-9,-9,-9,-9,01,02,03,03,03,01,2,23,TX,48,3,0,3,201609,01,08,02,04,02,01,04,01,01,07,03,72,-7,01,12420,3,01,02,1143.64838315585,U,70,7000,3000,3000,90,7000,3000
30552768,04,02,01,3,2,07,01,01,04,02,04,01,04,05,05,05,04,04,04,04,04,01,2,12,TX,48,2,1,2,201605,01,04,02,04,02,01,04,01,01,07,03,72,01,02,12420,3,01,02,788.497133975916,U,50,7000,3000,3000,50,7000,3000
30554257,01,02,01,1,1,06,01,05,05,04,05,01,05,05,05,05,02,02,05,05,05,02,1,7,TX,48,1,0,0,201609,01,09,02,04,02,01,04,01,01,07,03,72,01,02,12420,1,01,02,411.909941214659,T,20,750,300,350,05,750,300
30555283,02,02,02,2,1,05,03,01,01,03,05,01,05,05,05,05,01,03,03,03,03,01,2,4,TX,48,1,0,1,201610,01,07,02,04,02,01,04,01,01,07,03,72,01,02,12420,2,01,02,435.605003279385,T,20,300,300,150,20,1500,300
30555385,07,02,01,2,2,06,01,01,05,02,05,01,04,05,04,05,04,04,04,05,04,01,2,16,TX,48,2,0,0,201609,01,10,02,04,02,01,04,01,01,07,03,72,01,02,12420,2,01,02,132.188390887098,S,20,3000,1500,1500,20,3000,1500
30555460,07,02,01,2,2,08,01,01,02,04,04,01,05,05,05,05,02,04,04,04,04,01,2,18,TX,48,2,0,2,201609,01,10,02,04,02,01,04,01,01,07,03,72,01,02,12420,2,01,02,351.981238303387,T,20,1500,750,750,05,1500,750
